"tahun","indikator","pt_negeri","pt_swasta","periode_data"
"2011","Lembaga","5","331","2011"
"2011","Pendaftar","310799","342177","2011"
"2011","Mahasiswa Baru","214747","131715","2011"
"2011","Mahasiswa Terdaftar","814131","506365","2011"
"2011","Lulusan","151046","88178","2011"
"2011","Tenga Edukatif","6066","31546","2011"
"2012","Lembaga","5","330","2012"
"2012","Mahasiswa Baru","146771","116022","2012"
"2012","Mahasiswa Terdaftar","568842","580109","2012"
"2012","Lulusan","147899","74754","2012"
"2012","Tenaga Edukatif","3353","20537","2012"
"2013","Lembaga","kosong","14","2013"
"2013","Mahasiswa Baru","149358","123083","2013"
"2013","Mahasiswa Terdaftar","570578","584388","2013"
"2013","Lulusan","127847","76847","2013"
"2013","Tenaga Edukatif","6006","20897","2013"
